assembly_version	biosample_accession	bioproject_accession	organism	genus	n_arg_occurrences	n_plasmid_args	n_chromosomal_args	pct_plasmid	n_distinct_families	n_arg_bearing_replicons	n_arg_bearing_plasmids
GCA_009588945.1	SAMN13066419	PRJNA576555	Acinetobacter nosocomialis	Acinetobacter	10	9	1	90.0	10	2	1
GCA_009676805.1	SAMN13242673	PRJNA588381	Acinetobacter towneri	Acinetobacter	27	15	12	55.556	22	3	2
GCA_009730095.1	SAMN10163245	PRJNA231221	Acinetobacter lwoffii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009740145.1	SAMN13476302	PRJNA593376	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_009759685.1	SAMN13045090	PRJNA577968	Acinetobacter baumannii	Acinetobacter	4	0	4	0.0	4	1	0
GCA_009833005.1	SAMN12912378	PRJNA575861	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_009884295.1	SAMN12340933	PRJNA556124	Acinetobacter gyllenbergii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_009884975.1	SAMN12340932	PRJNA556123	Acinetobacter dispersus	Acinetobacter	3	0	3	0.0	3	1	0
GCA_009892245.1	SAMN09927975	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009892265.1	SAMN09927974	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009892285.1	SAMN09927973	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009892305.1	SAMN09927971	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009892325.1	SAMN09927972	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009892345.1	SAMN09927970	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009892365.1	SAMN09927969	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009892385.1	SAMN09927968	PRJNA311558	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009914375.1	SAMN13016659	PRJNA576998	Acinetobacter indicus	Acinetobacter	12	9	3	75.0	11	2	1
GCA_009914395.1	SAMN13016714	PRJNA577002	Acinetobacter indicus	Acinetobacter	12	12	0	100.0	11	2	2
GCA_009914415.1	SAMN13016715	PRJNA577003	Acinetobacter indicus	Acinetobacter	8	3	5	37.5	8	2	1
GCA_009914435.1	SAMN13017013	PRJNA577024	Acinetobacter indicus	Acinetobacter	15	15	0	100.0	11	2	2
GCA_009914475.1	SAMN13016821	PRJNA577018	Acinetobacter indicus	Acinetobacter	8	3	5	37.5	8	2	1
GCA_009931155.1	SAMN09499692	PRJNA477755	Klebsiella pneumoniae	Klebsiella	22	16	6	72.727	20	3	2
GCA_009931315.1	SAMN10724293	PRJNA514411	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_009937725.1	SAMN13676153	PRJNA597473	Klebsiella aerogenes	Klebsiella	1	0	1	0.0	1	1	0
GCA_010694505.1	SAMN14054838	PRJNA605318	Pseudomonas aeruginosa	Pseudomonas	4	0	4	0.0	4	1	0
GCA_010917815.1	SAMN12211912	PRJNA558439	Acinetobacter indicus	Acinetobacter	23	23	0	100.0	19	4	4
GCA_010918035.1	SAMN12211917	PRJNA558439	Acinetobacter indicus	Acinetobacter	22	21	1	95.455	19	2	1
GCA_010918195.1	SAMN12211923	PRJNA558439	Acinetobacter indicus	Acinetobacter	19	19	0	100.0	17	1	1
GCA_010918375.1	SAMN12429970	PRJNA558439	Acinetobacter indicus	Acinetobacter	16	16	0	100.0	14	1	1
GCA_010918635.1	SAMN12478518	PRJNA558439	Acinetobacter schindleri	Acinetobacter	30	27	3	90.0	22	6	5
GCA_010918895.1	SAMN12478519	PRJNA558439	Acinetobacter schindleri	Acinetobacter	22	20	2	90.909	19	5	4
GCA_010919095.1	SAMN12478520	PRJNA558439	Acinetobacter schindleri	Acinetobacter	25	23	2	92.0	22	5	4
GCA_011067065.1	SAMN14217790	PRJNA609015	Acinetobacter baumannii	Acinetobacter	15	0	15	0.0	14	1	0
GCA_011742775.2	SAMN14402329	PRJNA613369	Klebsiella pneumoniae	Klebsiella	28	19	9	67.857	24	3	2
GCA_011765385.1	SAMN13683895	PRJNA597816	Klebsiella pneumoniae	Klebsiella	14	12	2	85.714	11	4	3
GCA_011765405.1	SAMN13702289	PRJNA598275	Klebsiella pneumoniae	Klebsiella	18	16	2	88.889	13	3	2
GCA_011765425.1	SAMN13707218	PRJNA598527	Klebsiella pneumoniae	Klebsiella	10	8	2	80.0	10	4	3
GCA_011996285.1	SAMN14278654	PRJNA610163	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	2	1	0
GCA_012220585.1	SAMN13864944	PRJNA601288	Acinetobacter towneri	Acinetobacter	11	11	0	100.0	11	1	1
GCA_012272715.1	SAMN14308892	PRJNA612123	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	10	1	0
GCA_012272735.1	SAMN14308866	PRJNA612123	Acinetobacter baumannii	Acinetobacter	20	0	20	0.0	16	1	0
GCA_012272755.1	SAMN14308864	PRJNA612123	Acinetobacter baumannii	Acinetobacter	20	0	20	0.0	16	1	0
GCA_012272775.1	SAMN14308853	PRJNA612123	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	10	1	0
GCA_012272795.1	SAMN14308849	PRJNA612123	Acinetobacter baumannii	Acinetobacter	20	0	20	0.0	16	1	0
GCA_012278715.1	SAMN12158188	PRJNA551557	Acinetobacter indicus	Acinetobacter	1	1	0	100.0	1	1	1
GCA_012278735.1	SAMN12158191	PRJNA551558	Acinetobacter indicus	Acinetobacter	7	7	0	100.0	7	1	1
GCA_012516415.1	SAMN14567701	PRJNA622823	Acinetobacter sp.	Acinetobacter	1	0	1	0.0	1	1	0
GCA_012931605.1	SAMN14667518	PRJNA473419	Acinetobacter baumannii	Acinetobacter	9	6	3	66.667	8	2	1
GCA_012931625.1	SAMN14667516	PRJNA473419	Acinetobacter baumannii	Acinetobacter	12	6	6	50.0	10	3	2
GCA_012931645.1	SAMN14667515	PRJNA473419	Acinetobacter baumannii	Acinetobacter	12	6	6	50.0	10	3	2
GCA_012931665.1	SAMN14667517	PRJNA473419	Acinetobacter baumannii	Acinetobacter	13	10	3	76.923	12	2	1
GCA_012934905.1	SAMN14409516	PRJNA613562	Acinetobacter baumannii	Acinetobacter	19	15	4	78.947	15	2	1
GCA_012934925.1	SAMN14409628	PRJNA613578	Acinetobacter baumannii	Acinetobacter	17	0	17	0.0	13	1	0
GCA_012934945.1	SAMN14409813	PRJNA613583	Acinetobacter baumannii	Acinetobacter	14	0	14	0.0	12	1	0
GCA_012934965.1	SAMN14410107	PRJNA613587	Acinetobacter baumannii	Acinetobacter	13	2	11	15.385	11	3	2
GCA_012934985.1	SAMN14410138	PRJNA613593	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	11	1	0
GCA_012935005.1	SAMN14414761	PRJNA613679	Acinetobacter baumannii	Acinetobacter	13	5	8	38.462	11	5	4
GCA_012935025.1	SAMN14415334	PRJNA613683	Acinetobacter baumannii	Acinetobacter	14	1	13	7.143	11	2	1
GCA_012935045.1	SAMN14420246	PRJNA613820	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	11	1	0
