key	authors	title	journal	year	volume	pages	doi	pmid	verification	cited_for
abby2014	Abby, S. S., Néron, B., Ménager, H., Touchon, M. & Rocha, E. P. C.	MacSyFinder: a program to mine genomes for molecular systems with an application to CRISPR-Cas systems	PLoS One	2014	9	e110726	10.1371/journal.pone.0110726	25330359	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The original MacSyFinder publication (v1). Include alongside neron2023 if the manuscript needs the founding method reference, or cite alone only if v1 was actually the version run.
cury2020	Cury, J., Abby, S. S., Doppelt-Azeroual, O., Néron, B. & Rocha, E. P. C.	Identifying Conjugative Plasmids and Integrative Conjugative Elements with CONJscan	Methods Mol. Biol.	2020	2075	265-283	10.1007/978-1-4939-9877-7_19	31584169	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	CONJScan — the conjugative-system detection models/module of MacSyFinder (identification of conjugative plasmids and ICEs by HMM profiles plus composition and genetic-organisation constraints). This i
cury2017	Cury, J., Touchon, M. & Rocha, E. P. C.	Integrative and conjugative elements and their hosts: composition, distribution and organization	Nucleic Acids Res.	2017	45	8943-8956	10.1093/nar/gkx607	28911112	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Optional companion to cury2020: the study in which the conjugative-system profiles and ICE delimitation approach underlying CONJScan were developed and applied at scale (200 delimited ICEs). Cite only
rho2010	Rho, M., Tang, H. & Ye, Y.	FragGeneScan: predicting genes in short and error-prone reads	Nucleic Acids Res.	2010	38	e191	10.1093/nar/gkq747	20805240	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	FragGeneScan — HMM-based protein-coding gene prediction in short and error-prone reads / unassembled metagenomic sequence.
cock2009	Cock, P. J. A. et al.	Biopython: freely available Python tools for computational molecular biology and bioinformatics	Bioinformatics	2009	25	1422-1423	10.1093/bioinformatics/btp163	19304878	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Biopython — Python libraries for sequence/alignment I/O, structure handling, and programmatic access to BLAST and NCBI databases.
benjamini1995	Benjamini, Y. & Hochberg, Y.	Controlling the false discovery rate: a practical and powerful approach to multiple testing	Journal of the Royal Statistical Society Series B (Statistical Methodology)	1995	57	289-300	10.1111/j.2517-6161.1995.tb02031.x		workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Primary reference for false discovery rate control (BH procedure) when correcting multiplicity across many drug/determinant tests.
mantel1959	Mantel, N. & Haenszel, W.	Statistical aspects of the analysis of data from retrospective studies of disease	Journal of the National Cancer Institute	1959	22	719-748	10.1093/jnci/22.4.719	13655060	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Primary reference for the Mantel-Haenszel stratified estimator / test of association across strata (e.g. pooling odds ratios over study groups or species strata).
field2007	Field, C. A. & Welsh, A. H.	Bootstrapping clustered data	Journal of the Royal Statistical Society Series B (Statistical Methodology)	2007	69	369-390	10.1111/j.1467-9868.2007.00593.x		workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Primary methods reference for the cluster bootstrap - resampling whole clusters (e.g. study groups or isolates) rather than individual observations, and the conditions under which cluster resampling i
davison1997	Davison, A. C. & Hinkley, D. V.	Bootstrap Methods and their Application	Cambridge University Press (book/monograph)	1997			10.1017/CBO9780511802843		workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Standard textbook treatment of the bootstrap, including resampling designs for dependent and hierarchically structured (clustered) data; cite alongside or instead of Field & Welsh where a textbook ref
efron1979	Efron, B.	Bootstrap methods: another look at the jackknife	The Annals of Statistics	1979	7	1-26	10.1214/aos/1176344552		workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The original bootstrap paper; cite for the bootstrap in general, NOT for the cluster/clustered-data variant specifically (that is Field & Welsh 2007).
holm1979	Holm, S.	A simple sequentially rejective multiple test procedure	Scandinavian Journal of Statistics	1979	6	65-70			workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Primary reference for the Holm step-down sequentially rejective Bonferroni procedure for familywise error rate control.
murray2022	Murray, C. J. L. et al.	Global burden of bacterial antimicrobial resistance in 2019: a systematic analysis	Lancet	2022	399	629-655	10.1016/S0140-6736(21)02724-0	35065702	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The headline global burden of antimicrobial resistance: 4.95 million deaths associated with bacterial AMR and 1.27 million attributable to it in 2019, across 204 countries, 23 pathogens and 88 pathoge
tacconelli2018	Tacconelli, E. et al.	Discovery, research, and development of new antibiotics: the WHO priority list of antibiotic-resistant bacteria and tuberculosis	Lancet Infect. Dis.	2018	18	318-327	10.1016/S1473-3099(17)30753-3	29276051	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The WHO priority pathogens list. Specifically that carbapenem-resistant Acinetobacter baumannii, carbapenem-resistant Pseudomonas aeruginosa, and carbapenem-resistant and third-generation-cephalospori
rice2008	Rice, L. B.	Federal funding for the study of antimicrobial resistance in nosocomial pathogens: no ESKAPE	J. Infect. Dis.	2008	197	1079-1081	10.1086/533452	18419525	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The origin of the ESKAPE acronym and framing — the paper that named the group of nosocomial pathogens that 'escape' the effects of antibacterial drugs, and argued that federal research funding was mis
partridge2018	Partridge, S. R., Kwong, S. M., Firth, N. & Jensen, S. O.	Mobile genetic elements associated with antimicrobial resistance	Clin. Microbiol. Rev.	2018	31	e00088-17	10.1128/CMR.00088-17	30068738	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	The authoritative review of mobile genetic elements in resistance: insertion sequences, transposons, gene cassettes/integrons, plasmids and integrative conjugative elements, and their role in horizont
siguier2014	Siguier, P., Gourbeyre, E. & Chandler, M.	Bacterial insertion sequences: their genomic impact and diversity	FEMS Microbiology Reviews	2014	38	865-891	10.1111/1574-6976.12067	24499397	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 1 - insertion sequences and their role in bacterial genome plasticity. Canonical review of IS distribution, families, transposase types, and the IS-mediated activation of neighbouring genes that 
gillings2014	Gillings, M. R.	Integrons: past, present, and future	Microbiology and Molecular Biology Reviews	2014	78	257-277	10.1128/MMBR.00056-13	24847022	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 2 - integrons and resistance gene capture. Single-author review covering integron origins, the cassette capture/expression mechanism, and how antibiotic use selected resistance-carrying integrons
escudero2015	Escudero, J. A., Loot, C., Nivina, A. & Mazel, D.	The integron: adaptation on demand	Microbiology Spectrum	2015	3	MDNA3-0019-2014	10.1128/microbiolspec.MDNA3-0019-2014	26104695	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 2, alternative/companion to Gillings 2014. The Escudero et al. review the request named as an option. Mechanistically deeper: attC/attI site-specific recombination, single-stranded DNA recombinat
garcillanbarcia2009	Garcillán-Barcia, M. P., Francia, M. V. & de la Cruz, F.	The diversity of conjugative relaxases and its application in plasmid classification	FEMS Microbiology Reviews	2009	33	657-687	10.1111/j.1574-6976.2009.00168.x	19396961	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 3 - plasmid mobility classification by relaxase / MOB typing. The paper that defined the six MOB families (MOBF, MOBH, MOBQ, MOBC, MOBP, MOBV) from relaxase phylogeny and proposed relaxase sequen
smillie2010	Smillie, C., Garcillán-Barcia, M. P., Francia, M. V., Rocha, E. P. C. & de la Cruz, F.	Mobility of plasmids	Microbiology and Molecular Biology Reviews	2010	74	434-452	10.1128/MMBR.00020-10	20805406	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 4 - mobility of plasmids. Establishes the computational protocol for classifying plasmids as conjugative, mobilizable or non-mobilizable from genome sequence (relaxase, T4CP, MPF families) across
hamidian2018	Hamidian, M. & Hall, R. M.	The AbaR antibiotic resistance islands found in Acinetobacter baumannii global clone 1 — structure, origin and evolution	Drug Resistance Updates	2018	41	26-39	10.1016/j.drup.2018.10.003	30472242	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 5, recommended primary choice - a review of the chromosomal resistance-island architecture of A. baumannii. Describes AbaR islands as complex transposons inserted in the chromosomal comM gene: th
fournier2006	Fournier, P.-E. et al.	Comparative genomics of multidrug resistance in Acinetobacter baumannii	PLoS Genetics	2006	2	e7	10.1371/journal.pgen.0020007	16415984	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 5, the originating primary reference. The paper that first described the 86-kb chromosomal resistance island in A. baumannii strain AYE (later named AbaR1), clustering 45 resistance genes at a si
nigro2013	Nigro, S. J., Farrugia, D. N., Paulsen, I. T. & Hall, R. M.	A novel family of genomic resistance islands, AbGRI2, contributing to aminoglycoside resistance in Acinetobacter baumannii isolates belonging to global clone 2	Journal of Antimicrobial Chemotherapy	2013	68	554-557	10.1093/jac/dks459	23169892	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 5, the AbGRI half of the nomenclature. This is the paper that named the AbGRI2 family and, in doing so, fixed the AbGRI1 designation for the comM-located islands of global clone 2 — explicitly di
nigro2012	Nigro, S. J. & Hall, R. M.	Antibiotic resistance islands in A320 (RUH134), the reference strain for Acinetobacter baumannii global clone 2	Journal of Antimicrobial Chemotherapy	2012	67	335-338	10.1093/jac/dkr447	22020138	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 5, supporting primary reference. Establishes the comM insertion site as the shared target for resistance-island import in both globally disseminated A. baumannii clones, and characterises the GC2
wick2017	Wick, R. R., Judd, L. M., Gorrie, C. L. & Holt, K. E.	Completing bacterial genome assemblies with multiplex MinION sequencing	Microbial Genomics	2017	3	e000132	10.1099/mgen.0.000132	29177090	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 1 (primary). Long-read (Oxford Nanopore) sequencing enables complete/fully resolved bacterial genome assembly. Directly supports the localisation motivation: the abstract states that Illumina sho
wick2023	Wick, R. R., Judd, L. M. & Holt, K. E.	Assembling the perfect bacterial genome using Oxford Nanopore and Illumina sequencing	PLoS Computational Biology	2023	19	e1010905	10.1371/journal.pcbi.1010905	36862631	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 1 (alternative / more recent). Explicitly defines a perfect bacterial assembly as one in which 'each replicon sequence is complete and contains no errors', and gives the current long-read + short
arredondoalonso2017	Arredondo-Alonso, S., Willems, R. J., van Schaik, W. & Schürch, A. C.	On the (im)possibility of reconstructing plasmids from whole-genome short-read sequencing data	Microbial Genomics	2017	3	e000128	10.1099/mgen.0.000128	29177087	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 2 (primary). Benchmark of plasmid-prediction/classification tools with quantified error rates against 42 complete reference genomes (12 genera, 148 plasmids). Quotable numbers straight from the a
teixeira2025	Teixeira, M. et al.	Circling in on plasmids: benchmarking plasmid detection and reconstruction tools for short-read data from diverse species	Briefings in Bioinformatics	2025	26	bbaf589	10.1093/bib/bbaf589	41214871	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 2 (current-generation companion to arredondoalonso2017). Benchmarks 12 plasmid-detection tools and 4 plasmid-reconstruction tools against high-quality (long-read) assemblies as ground truth, acro
camargo2024	Camargo, A. P. et al.	Identification of mobile genetic elements with geNomad	Nature Biotechnology	2024	42	1303–1312	10.1038/s41587-023-01953-y	37735266	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 3. The geNomad tool paper, cited for plasmid/virus sequence classification and provirus detection. Reported benchmark performance: Matthews correlation coefficient 77.8% for plasmids and 95.3% fo
kitts2016	Kitts, P. A. et al.	Assembly: a resource for assembled genomes at NCBI	Nucleic Acids Research	2016	44	D73–D80	10.1093/nar/gkv1226	26578580	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 4 (primary). The NCBI Assembly database resource paper: stable assembly accessioning and versioning (GCF_/GCA_), the INSDC-to-RefSeq assembly relationship, assembly metadata and structure. Its ab
oleary2016	O'Leary, N. A. et al.	Reference sequence (RefSeq) database at NCBI: current status, taxonomic expansion, and functional annotation	Nucleic Acids Research	2016	44	D733–D745	10.1093/nar/gkv1189	26553804	workflow wf_6769cc30-78c, PubMed/Crossref/DOI-resolver, 2026-08-23	Item 4 (companion). The standard RefSeq citation. Pair with kitts2016 when the sentence covers RefSeq curation/annotation of prokaryotic genomes as well as the Assembly data model; cite kitts2016 alon
ellabaan_2022_arg-mob	Nielsen, T. K., Browne, P. D. & Hansen, L. H.	Antibiotic resistance genes are differentially mobilized according to resistance mechanism	GigaScience	2022	11	giac072	10.1093/gigascience/giac072		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 35906888)	prior art / positioning
card/islandviewer_8000_species	Jia, B. et al.	Analysing antimicrobial resistance mobility patterns using a diverse dataset of over 8000 bacterial species	bioRxiv	2026			10.64898/2026.03.03.709307		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref posted-content; not in PubMed)	prior art / positioning
yaikhan_2026_a._baumannii_10,500	Yaikhan, T. et al.	Lineage-specific associations between the resistome and mobilome across 10,500 globally distributed Acinetobacter baumannii genomes	Computational and Structural Biotechnology Journal	2026		csbj.0123	10.34133/csbj.0123		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 42273235)	prior art / positioning
khedkar_2022_promge	Khedkar, S. et al.	Landscape of mobile genetic elements and their antibiotic resistance cargo in prokaryotic genomes	Nucleic Acids Research	2022	50	3155-3168	10.1093/nar/gkac163		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 35323968)	prior art / positioning
antibiotics_2026_9,700_e._coli	Azour, A., Matar, G. M. & Bilen, M.	Plasmid-Driven Resistome Diversity in 9700 Escherichia coli Genomes Across Phylogroups and Sequence Types	Antibiotics	2026	15	287	10.3390/antibiotics15030287		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 41892448)	prior art / positioning
frontiers_2026_carbapenem_mobilome	de Souza, H. C. A. et al.	Large-scale plasmidome and carbapenem mobilome analysis reveals a mechanistic duality: high-power specialists and structural generalists mobile genetic elements	Frontiers in Microbiology	2026	17	1755819	10.3389/fmicb.2026.1755819		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 41800412)	prior art / positioning
wang_&_dagan_2021_gene_sharing	Wang, Y., Batra, A., Schulenburg, H. & Dagan, T.	Gene sharing among plasmids and chromosomes reveals barriers for antibiotic resistance gene transfer	Philosophical Transactions of the Royal Society B	2021	377	20200467	10.1098/rstb.2020.0467		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 34839702)	prior art / positioning
ijms_2023_16,622_closed_genomes	Domingues, C. P. F., Rebelo, J. S., Dionisio, F. & Nogueira, T.	Multi-Drug Resistance in Bacterial Genomes—A Comprehensive Bioinformatic Analysis	International Journal of Molecular Sciences	2023	24	11438	10.3390/ijms241411438		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 37511196)	prior art / positioning
coluzzi_&_rocha_2025_host_range	Coluzzi, C. & Rocha, E. P. C.	The Spread of Antibiotic Resistance Is Driven by Plasmids Among the Fastest Evolving and of Broadest Host Range	Molecular Biology and Evolution	2025	42	msaf060	10.1093/molbev/msaf060		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 40098486)	prior art / positioning
nar_2026_conjugative_survival_strategies	Ono, R., Konno, N., Nishimura, Y. & Furusawa, C.	Host range and antibiotic resistance dissemination are shaped by distinct survival strategies of conjugative plasmids	Nucleic Acids Research	2026	54	gkaf1479	10.1093/nar/gkaf1479		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 41587753)	prior art / positioning
redondo-salvo_2020_ptu_map	Redondo-Salvo, S. et al.	Pathways for horizontal gene transfer in bacteria revealed by a global map of their plasmids	Nature Communications	2020	11	3602	10.1038/s41467-020-17278-2		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 32681114)	prior art / positioning
biorxiv_2026_full-assembly_cargo	Saniya & Khan, A. A.	Full-assembly screening reveals mobile antibiotic-resistance cargo missed by chromosome-only genomes	bioRxiv	2026			10.64898/2026.06.11.731541		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref posted-content; not in PubMed)	prior art / positioning
bmc_genomics_2026_co-occurrence	Choudhury, S. T. & Andam, C. P.	Genome-wide co-occurrence patterns link mobile genetic elements, antimicrobial resistance and defense systems in Pseudomonas aeruginosa	BMC Genomics	2026	27	226	10.1186/s12864-026-12585-2		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 41612191)	prior art / positioning
mbio_2025_hi-c_host_range	Robinson, C. R. P., Dolezal, A. G., Liachko, I. & Newton, I. L. G.	Hi-C-resolved metagenomics reveals host range variation among mobile genetic elements within the European honey bee	mBio	2025	16	e02243-25	10.1128/mbio.02243-25		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 40980884)	prior art / positioning
antibiotics_2026_swine_e._coli_mobility-resolved	Kerek, Á. et al.	Inferred Mobility-Resolved Resistome Architecture Suggests Recurrent Co-Resistance Modules on a Conserved Chromosomal Backbone in Multidrug-Resistant Escherichia coli from Intensive Swine Production in Hungary	Antibiotics	2026	15	367	10.3390/antibiotics15040367		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 42041330)	prior art / positioning
nature_2026_e._faecium_transposons	Grieshop, M. P. et al.	Transposable elements are driving rapid adaptation of Enterococcus faecium	Nature	2026	653	1139-1147	10.1038/s41586-026-10373-2		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 42020750)	prior art / positioning
larsson_2026_comment	Larsson, D. G. J., Flach, C. F. & Kristiansson, E.	Antibiotic resistance gene analyses in microbial communities: challenges and opportunities	Nature Communications	2026	17	3220	10.1038/s41467-026-71462-4		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC full text, PMID 41935036)	prior art / positioning
mulkern_2026_antisense	Mulkern, A. J. et al.	A systematic identification of resistance determinants to antisense antibiotics suggests adaptation strategies dependent on the delivery peptide	Nature Communications	2026	17	8262	10.1038/s41467-026-76357-y		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 42586984)	prior art / positioning
mob-suite_(method)	Robertson, J. & Nash, J. H. E.	MOB-suite: software tools for clustering, reconstruction and typing of plasmids from draft assemblies	Microbial Genomics	2018	4		10.1099/mgen.0.000206		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC)	prior art / positioning
genomad_(method)	Camargo, A. P. et al.	Identification of mobile genetic elements with geNomad	Nature Biotechnology	2023	42	1303-1312	10.1038/s41587-023-01953-y		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 37735266)	prior art / positioning
liu_2026_cfr_framework	Liu, H. et al.	A genomic framework for tracking antibiotic resistance genes: global dissemination of *cfr*-family genes	Antimicrobial Agents and Chemotherapy	2026	70	e00122-26	10.1128/aac.00122-26		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref + Europe PMC, PMID 42429792); Methods detail o	prior art / positioning
hou_2026_plasmid_biology_compressed	Hou, Y., Xue, W. & Wang, T.	Plasmid biology is compressed in host chromosomal architecture	bioRxiv	2026			10.64898/2026.08.12.744350		PORTABILITYRISK_CLOSEST_STUDIES_MATRIX_V3, yes (Crossref posted-content; not in PubMed)	prior art / positioning
who2024bppl	Sati, H. et al.	The WHO Bacterial Priority Pathogens List 2024: a prioritisation study to guide research, development, and public health strategies against antimicrobial resistance	The Lancet Infectious Diseases	2025	25	1033-1043	10.1016/S1473-3099(25)00118-5	40245910	DOI dereferenced at doi.org content-negotiation + PubMed index, 2026-08-25; receipt PORTABILITYRISK_NEW_LITERATURE_DOI_VERIFICATION_V1.json	REPLACES tacconelli2018 in the citation map. The 2017 list is superseded. Carbapenem-resistant Klebsiella pneumoniae is top-ranked at 84% and Gram-negatives occupy the highest quartile, so the study species are the prioritised ones. Transmissibility is one of the eight scoring criteria, which is the paper's thesis in WHO's own framework. Tacconelli is an author on both lists, so this is an update of the same citation rather than a substitution.
jia2026	Jia, B. et al.	Analysing antimicrobial resistance mobility patterns using a diverse dataset of over 8000 bacterial species	bioRxiv	2026		2026.03.03.709307	10.64898/2026.03.03.709307		DOI dereferenced at doi.org content-negotiation (Crossref, publisher openRxiv), 2026-08-25; not indexed in PubMed; PREPRINT - re-check for a published version before submission	CLOSEST COMPETITOR and a direct contradiction: concludes AMR mobility is 'largely dictated by gene function rather than the host bacterium'. Cited in the Introduction as state of the art and engaged in the Discussion. Note the DOI prefix is 10.64898 (openRxiv), NOT the historical bioRxiv 10.1101 - do not construct this identifier by pattern. Data deposited under MIT at OSF 10.17605/OSF.IO/WE3TX; the preprint itself is CC-BY-NC-4.0.
yaikhan2026	Yaikhan, T. et al.	Lineage-specific associations between the resistome and mobilome across 10,500 globally distributed Acinetobacter baumannii genomes	Computational and Structural Biotechnology Journal	2026	35	0123	10.34133/csbj.0123	42273235	DOI dereferenced at doi.org content-negotiation + PubMed index, 2026-08-25; receipt PORTABILITYRISK_NEW_LITERATURE_DOI_VERIFICATION_V1.json	Genome-level resistome-mobilome analysis in the study's densest species. Reports only modest IS-burden correlation (Spearman rho 0.237-0.259). Cited in the Discussion to draw the burden-versus-proximity distinction: a genome-wide count of IS elements against a count of ARGs is insensitive to where anything sits, which is precisely what this work measures.
klumper2025	Klumper, U. et al.	Towards the integration of antibiotic resistance gene mobility into environmental surveillance and risk assessment	npj Antimicrobials and Resistance	2025	3	81	10.1038/s44259-025-00154-8	40957922	DOI dereferenced at doi.org content-negotiation + PubMed index, 2026-08-25; receipt PORTABILITYRISK_NEW_LITERATURE_DOI_VERIFICATION_V1.json	Introduction framing. The field's own statement that ARG mobility must enter surveillance and risk assessment, establishing that the gap this paper addresses is one the discipline has named.
kerkvliet2024	Kerkvliet, J. J. et al.	Metagenomic assembly is the main bottleneck in the identification of mobile genetic elements	PeerJ	2024	12	e16695	10.7717/peerj.16695	38188174	DOI dereferenced at doi.org content-negotiation + PubMed index, 2026-08-25; receipt PORTABILITYRISK_NEW_LITERATURE_DOI_VERIFICATION_V1.json	QUANTIFIES the error the closed-genome design avoids: plasmid identification precision 0.57, insertion-sequence identification sensitivity 0.58 on a simulated benchmark. Replaces an assertion in the Introduction with a number a reviewer can check.
