occurrence_id	block_id	assembly_version	replicon_accession	bioproject_accession	organism_harmonized	genus	frozen_group	determinant_name	gene_family	portability_class	topology	wrapped_circular	truncated	block_n_args	weight_block_balanced	s2_selected	dist_any_bp	dist_is_bp	dist_integrase_bp	censored_any	censored_is	censored_integrase	overlap_zero	in_block_feature_beyond_window
GCA_059696525.1|AP019685.1|aph(3'')-Ib|3784996|3785796	blk000006	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(3'')-Ib	aph(3'')	B	circular	no	no	3	0.3333333333333333	0	1394	1394		0	0	1	0	0
GCA_059696525.1|AP019685.1|aph(6)-Id|3785799|3786632	blk000006	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(6)-Id	aph(6)	B	circular	no	no	3	0.3333333333333333	1	558	558		0	0	1	0	0
GCA_059696525.1|AP019685.1|tet(B)|3790008|3791207	blk000006	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	tet(B)	tet(B)	B	circular	no	no	3	0.3333333333333333	0	1325	1325		0	0	1	0	0
GCA_059696525.1|AP019685.1|ant(3'')-IIa|3877248|3878033	blk000007	GCA_059696525.1	AP019685.1	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	ant(3'')-IIa	ant(3'')	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_006757745.1|AP019740.1|blaOXA-103|1098268|1099086	blk000008	GCA_006757745.1	AP019740.1	PRJDB54	Acinetobacter radioresistens	Acinetobacter	other	blaOXA-103	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014168695.1|AP021936.1|blaADC-12|1201987|1203135	blk000009	GCA_014168695.1	AP021936.1	PRJDB6962	Acinetobacter pittii	Acinetobacter	other	blaADC-12	blaADC	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014168695.1|AP021936.1|blaOXA-417|2218048|2218866	blk000010	GCA_014168695.1	AP021936.1	PRJDB6962	Acinetobacter pittii	Acinetobacter	other	blaOXA-417	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014168695.1|AP021936.1|ant(3'')-IIa|3903770|3904555	blk000011	GCA_014168695.1	AP021936.1	PRJDB6962	Acinetobacter pittii	Acinetobacter	other	ant(3'')-IIa	ant(3'')	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014159355.1|AP022077.1|ant(3'')-IIa|132387|133172	blk000012	GCA_014159355.1	AP022077.1	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	ant(3'')-IIa	ant(3'')	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014159355.1|AP022077.1|blaOXA-120|1740737|1741558	blk000013	GCA_014159355.1	AP022077.1	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-120	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014159355.1|AP022077.1|blaADC-156|2777286|2778434	blk000014	GCA_014159355.1	AP022077.1	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaADC-156	blaADC	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014169655.1|AP022238.1|fos|243707|244111	blk000015	GCA_014169655.1	AP022238.1	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	fos	fos	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014169655.1|AP022238.1|blaADC-26|1144643|1145791	blk000016	GCA_014169655.1	AP022238.1	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaADC-26	blaADC	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014169655.1|AP022238.1|blaOXA-259|2074917|2075738	blk000017	GCA_014169655.1	AP022238.1	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-259	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014169655.1|AP022238.1|ant(3'')-IIa|3564412|3565197	blk000018	GCA_014169655.1	AP022238.1	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	ant(3'')-IIa	ant(3'')	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014169935.1|AP022302.1|fos|255747|256151	blk000019	GCA_014169935.1	AP022302.1	PRJDB6962	Acinetobacter sp.	Acinetobacter	other	fos	fos	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014169935.1|AP022302.1|blaADC-132|1174423|1175571	blk000020	GCA_014169935.1	AP022302.1	PRJDB6962	Acinetobacter sp.	Acinetobacter	other	blaADC-132	blaADC	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_014169935.1|AP022302.1|blaOXA-273|2104600|2105418	blk000021	GCA_014169935.1	AP022302.1	PRJDB6962	Acinetobacter sp.	Acinetobacter	other	blaOXA-273	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_015135635.1|AP022438.1|oqxB|1139652|1142798	blk000022	GCA_015135635.1	AP022438.1	PRJDB9036	Klebsiella planticola	Klebsiella	Klebsiella group	oqxB	oqxB	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_015135635.1|AP022438.1|blaPLA|2581300|2582172	blk000023	GCA_015135635.1	AP022438.1	PRJDB9036	Klebsiella planticola	Klebsiella	Klebsiella group	blaPLA	blaPLA	B	circular	no	no	1	1.0	1	6534	6534		0	0	1	0	0
GCA_015135635.1|AP022438.1|fosA|4680776|4681192	blk000024	GCA_015135635.1	AP022438.1	PRJDB9036	Klebsiella planticola	Klebsiella	Klebsiella group	fosA	fosA	B	circular	no	no	1	1.0	1	4822	4822		0	0	1	0	0
GCA_015137855.1|AP022509.1|blaACT-15|449269|450411	blk000025	GCA_015137855.1	AP022509.1	PRJDB9036	Enterobacter cloacae	Enterobacter	other	blaACT-15	blaACT	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_015137855.1|AP022509.1|fosA|605713|606135	blk000026	GCA_015137855.1	AP022509.1	PRJDB9036	Enterobacter cloacae	Enterobacter	other	fosA	fosA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_015137855.1|AP022509.1|oqxB|3401984|3405133	blk000027	GCA_015137855.1	AP022509.1	PRJDB9036	Enterobacter cloacae	Enterobacter	other	oqxB	oqxB	A	circular	no	no	2	0.5	1				1	1	1	0	0
GCA_015137855.1|AP022509.1|oqxA|3405160|3406332	blk000027	GCA_015137855.1	AP022509.1	PRJDB9036	Enterobacter cloacae	Enterobacter	other	oqxA	oqxA	A	circular	no	no	2	0.5	0				1	1	1	0	0
GCA_001895125.2|AP023077.1|blaADC-249|1150404|1151552	blk000028	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaADC-249	blaADC	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_001895125.2|AP023077.1|blaOXA-208|2123320|2124141	blk000029	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-208	blaOXA	B	circular	no	no	1	1.0	1	8209	8209		0	0	1	0	0
GCA_001895125.2|AP023077.1|aph(3'')-Ib|3549919|3550719	blk000030	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(3'')-Ib	aph(3'')	B	circular	no	no	3	0.3333333333333333	0	1394	1394		0	0	1	0	0
GCA_001895125.2|AP023077.1|aph(6)-Id|3550722|3551555	blk000030	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(6)-Id	aph(6)	B	circular	no	no	3	0.3333333333333333	1	558	558		0	0	1	0	0
GCA_001895125.2|AP023077.1|sul2|3554174|3554986	blk000030	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	sul2	sul2	B	circular	no	no	3	0.3333333333333333	0	93	93		0	0	1	0	0
GCA_001895125.2|AP023077.1|sul1|3622197|3623033	blk000031	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	sul1	sul1	B	circular	no	no	4	0.25	0	600	600	1360	0	0	0	0	0
GCA_001895125.2|AP023077.1|blaTMB-1|3623506|3624240	blk000031	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaTMB-1	blaTMB	B	circular	no	no	4	0.25	1	153	153	153	0	0	0	0	0
GCA_001895125.2|AP023077.1|mph(E)|3640980|3641861	blk000031	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	mph(E)	mph(E)	B	circular	no	no	4	0.25	0	193	193		0	0	1	0	0
GCA_001895125.2|AP023077.1|msr(E)|3641920|3643392	blk000031	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	msr(E)	msr(E)	B	circular	no	no	4	0.25	0	1133	1133		0	0	1	0	0
GCA_001895125.2|AP023077.1|ant(3'')-IIa|3825660|3826445	blk000032	GCA_001895125.2	AP023077.1	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	ant(3'')-IIa	ant(3'')	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_016865465.1|AP024415.1|ant(3'')-IIa|142473|143258	blk000033	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	ant(3'')-IIa	ant(3'')	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_016865465.1|AP024415.1|blaOXA-23|229176|229994	blk000034	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-23	blaOXA	B	circular	no	no	1	1.0	1	106	106		0	0	1	0	0
GCA_016865465.1|AP024415.1|blaTEM-1|1312302|1313159	blk000035	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaTEM-1	blaTEM	B	circular	no	no	1	1.0	1	183	183		0	0	1	0	0
GCA_016865465.1|AP024415.1|blaOXA-66|1802814|1803635	blk000036	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-66	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_016865465.1|AP024415.1|mph(E)|2645417|2646298	blk000037	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	mph(E)	mph(E)	B	circular	no	no	4	0.25	0	647	647		0	0	1	0	0
GCA_016865465.1|AP024415.1|msr(E)|2646357|2647829	blk000037	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	msr(E)	msr(E)	B	circular	no	no	4	0.25	1	399	399		0	0	1	0	0
GCA_016865465.1|AP024415.1|armA|2650131|2650901	blk000037	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	armA	armA	B	circular	no	no	4	0.25	0	326	326		0	0	1	0	0
GCA_016865465.1|AP024415.1|sul1|2654249|2655085	blk000037	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	sul1	sul1	B	circular	no	no	4	0.25	0	408	408		0	0	1	0	0
GCA_016865465.1|AP024415.1|blaADC-82|2835442|2836590	blk000038	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaADC-82	blaADC	B	circular	no	no	1	1.0	1	397	397		0	0	1	0	0
GCA_016865465.1|AP024415.1|blaOXA-23|3937216|3938034	blk000039	GCA_016865465.1	AP024415.1	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-23	blaOXA	B	circular	no	no	1	1.0	1	255	255		0	0	1	0	0
GCA_017347405.1|AP024495.1|blaMIR-20|389282|390424	blk000040	GCA_017347405.1	AP024495.1	PRJDB11244	Enterobacter cloacae	Enterobacter	other	blaMIR-20	blaMIR	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_017347405.1|AP024495.1|oqxA|2218198|2219370	blk000041	GCA_017347405.1	AP024495.1	PRJDB11244	Enterobacter cloacae	Enterobacter	other	oqxA	oqxA	A	circular	no	no	2	0.5	1				1	1	1	0	0
GCA_017347405.1|AP024495.1|oqxB|2219398|2222550	blk000041	GCA_017347405.1	AP024495.1	PRJDB11244	Enterobacter cloacae	Enterobacter	other	oqxB	oqxB	A	circular	no	no	2	0.5	0				1	1	1	0	0
GCA_018409485.1|AP024524.1|sul2|2444263|2445075	blk000042	GCA_018409485.1	AP024524.1	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	sul2	sul2	B	circular	no	no	3	0.3333333333333333	0	90	90		0	0	1	0	0
GCA_018409485.1|AP024524.1|aph(6)-Id|2453142|2453975	blk000042	GCA_018409485.1	AP024524.1	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	aph(6)-Id	aph(6)	B	circular	no	no	3	0.3333333333333333	1	905	905		0	0	1	0	0
GCA_018409485.1|AP024524.1|aph(3'')-Ib|2453978|2454778	blk000042	GCA_018409485.1	AP024524.1	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	aph(3'')-Ib	aph(3'')	B	circular	no	no	3	0.3333333333333333	0	102	102		0	0	1	0	0
GCA_018409485.1|AP024524.1|dfrA40|2783467|2783976	blk000043	GCA_018409485.1	AP024524.1	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	dfrA40	dfrA40	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_018324105.1|AP024595.1|blaOXA-299|1013349|1014179	blk000044	GCA_018324105.1	AP024595.1	PRJDB11476	Acinetobacter bouvetii	Acinetobacter	other	blaOXA-299	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_019702905.1|AP024708.1|blaOXA-257|4431714|4432541	blk000045	GCA_019702905.1	AP024708.1	PRJDB11707	Acinetobacter sp.	Acinetobacter	other	blaOXA-257	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_019703265.1|AP024798.1|blaADC-18|1183449|1184597	blk000046	GCA_019703265.1	AP024798.1	PRJDB11826	Acinetobacter pittii	Acinetobacter	other	blaADC-18	blaADC	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_019703265.1|AP024798.1|blaOXA-500|2158049|2158867	blk000047	GCA_019703265.1	AP024798.1	PRJDB11826	Acinetobacter pittii	Acinetobacter	other	blaOXA-500	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_019703265.1|AP024798.1|ant(3'')-IIa|3832811|3833596	blk000048	GCA_019703265.1	AP024798.1	PRJDB11826	Acinetobacter pittii	Acinetobacter	other	ant(3'')-IIa	ant(3'')	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_019703285.1|AP024802.1|ant(3'')-IIa|158455|159240	blk000049	GCA_019703285.1	AP024802.1	PRJDB11827	Acinetobacter baumannii	Acinetobacter	A. baumannii	ant(3'')-IIa	ant(3'')	B	circular	no	no	1	1.0	1	3783	3783		0	0	1	0	0
GCA_019703285.1|AP024802.1|blaOXA-64|1788886|1789707	blk000050	GCA_019703285.1	AP024802.1	PRJDB11827	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-64	blaOXA	B	circular	no	no	1	1.0	1	5956	5956		0	0	1	0	0
GCA_019703285.1|AP024802.1|blaADC|2718670|2719641	blk000051	GCA_019703285.1	AP024802.1	PRJDB11827	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaADC	blaADC	B	circular	no	no	1	1.0	1	35	35		0	0	1	0	0
GCA_020886835.1|AP024913.1|blaACT-74|420889|422031	blk000052	GCA_020886835.1	AP024913.1	PRJDB11945	Enterobacter cloacae	Enterobacter	other	blaACT-74	blaACT	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_020886835.1|AP024913.1|tet(B)|627942|629144	blk000053	GCA_020886835.1	AP024913.1	PRJDB11945	Enterobacter cloacae	Enterobacter	other	tet(B)	tet(B)	B	circular	no	no	2	0.5	1	1223	1223		0	0	1	0	0
GCA_020886835.1|AP024913.1|fosA|643370|643792	blk000053	GCA_020886835.1	AP024913.1	PRJDB11945	Enterobacter cloacae	Enterobacter	other	fosA	fosA	A	circular	no	no	2	0.5	0				1	1	1	0	1
GCA_020886955.1|AP024918.1|blaACT-74|420889|422031	blk000054	GCA_020886955.1	AP024918.1	PRJDB11945	Klebsiella aerogenes	Klebsiella	Klebsiella group	blaACT-74	blaACT	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_020886955.1|AP024918.1|tet(B)|627936|629138	blk000055	GCA_020886955.1	AP024918.1	PRJDB11945	Klebsiella aerogenes	Klebsiella	Klebsiella group	tet(B)	tet(B)	B	circular	no	no	2	0.5	1	1223	1223		0	0	1	0	0
GCA_020886955.1|AP024918.1|fosA|643364|643786	blk000055	GCA_020886955.1	AP024918.1	PRJDB11945	Klebsiella aerogenes	Klebsiella	Klebsiella group	fosA	fosA	A	circular	no	no	2	0.5	0				1	1	1	0	1
GCA_019974175.1|AP025034.1|oqxA|30920|32092	blk000056	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	oqxA	oqxA	A	circular	no	no	2	0.5	0				1	1	1	0	0
GCA_019974175.1|AP025034.1|oqxB|32119|35268	blk000056	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	oqxB	oqxB	A	circular	no	no	2	0.5	1				1	1	1	0	0
GCA_019974175.1|AP025034.1|blaSHV-11|766184|767041	blk000057	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	blaSHV-11	blaSHV	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_019974175.1|AP025034.1|fosA|4307677|4308093	blk000058	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	fosA	fosA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_019974175.1|AP025034.1|tet(A)|5026152|5027348	blk000059	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	tet(A)	tet(A)	B	circular	no	no	1	1.0	1	1088	1088		0	0	1	0	0
GCA_019974175.1|AP025034.1|dfrA12|5231235|5231729	blk000060	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	dfrA12	dfrA12	B	circular	no	no	5	0.2	0	145	145	145	0	0	0	0	0
GCA_019974175.1|AP025034.1|aadA2|5232140|5232928	blk000060	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	aadA2	aadA2	B	circular	no	no	5	0.2	1	1050	1050	1050	0	0	0	0	0
GCA_019974175.1|AP025034.1|sul1|5233436|5234272	blk000060	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	sul1	sul1	B	circular	no	no	5	0.2	0	2238	2238	2346	0	0	0	0	0
GCA_019974175.1|AP025034.1|mrx(A)|5238354|5239589	blk000060	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	mrx(A)	mrx(A)	B	circular	no	no	5	0.2	0	1080	1080	7264	0	0	0	0	0
GCA_019974175.1|AP025034.1|mph(A)|5239589|5240491	blk000060	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	mph(A)	mph(A)	B	circular	no	no	5	0.2	0	2315	2315	8499	0	0	0	0	0
GCA_019974175.1|AP025034.1|qnrS1|5279374|5280027	blk000061	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	qnrS1	qnrS1	B	circular	no	no	3	0.3333333333333333	0	322	322		0	0	1	0	0
GCA_019974175.1|AP025034.1|aph(3'')-Ib|5284231|5285031	blk000061	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	aph(3'')-Ib	aph(3'')	B	circular	no	no	3	0.3333333333333333	0	1534	1534		0	0	1	0	0
GCA_019974175.1|AP025034.1|sul2|5285095|5285907	blk000061	GCA_019974175.1	AP025034.1	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	sul2	sul2	B	circular	no	no	3	0.3333333333333333	1	688	688		0	0	1	0	0
GCA_027943685.1|AP025531.1|blaADC-73|1158616|1159764	blk000062	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaADC-73	blaADC	B	circular	no	no	1	1.0	1	81	81		0	0	1	0	0
GCA_027943685.1|AP025531.1|armA|1335505|1336275	blk000063	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	armA	armA	B	circular	no	no	3	0.3333333333333333	0	326	326		0	0	1	0	0
GCA_027943685.1|AP025531.1|msr(E)|1338577|1340049	blk000063	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	msr(E)	msr(E)	B	circular	no	no	3	0.3333333333333333	1	399	399		0	0	1	0	0
GCA_027943685.1|AP025531.1|mph(E)|1340108|1340989	blk000063	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	mph(E)	mph(E)	B	circular	no	no	3	0.3333333333333333	0	647	647		0	0	1	0	0
GCA_027943685.1|AP025531.1|blaOXA-66|2137295|2138116	blk000064	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaOXA-66	blaOXA	A	circular	no	no	1	1.0	1				1	1	1	0	0
GCA_027943685.1|AP025531.1|aph(3')-Ia|2584188|2585000	blk000065	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(3')-Ia	aph(3')	B	circular	no	no	2	0.5	0	130	130		0	0	1	0	0
GCA_027943685.1|AP025531.1|blaTEM-1|2590605|2591462	blk000065	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	blaTEM-1	blaTEM	B	circular	no	no	2	0.5	1	74	74		0	0	1	0	0
GCA_027943685.1|AP025531.1|aph(3'')-Ib|3648039|3648839	blk000066	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(3'')-Ib	aph(3'')	B	circular	no	no	6	0.16666666666666666	0	1394	1394		0	0	1	0	0
GCA_027943685.1|AP025531.1|aph(6)-Id|3648842|3649675	blk000066	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	aph(6)-Id	aph(6)	B	circular	no	no	6	0.16666666666666666	0	558	558		0	0	1	0	0
GCA_027943685.1|AP025531.1|tet(B)|3653051|3654250	blk000066	GCA_027943685.1	AP025531.1	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	tet(B)	tet(B)	B	circular	no	no	6	0.16666666666666666	0	1325	1325		0	0	1	0	0
