occurrence_id	block_id	bioproject_accession	organism_harmonized	genus	frozen_group	portability_class	weight_block_balanced	nmdist_dist_any_bp	nmdist_censored	endpoint_state	nmis_dist_bp	nmis_censored	n_complete_contained	n_complete_crossing	n_partial_or_boundary
GCA_059696525.1|AP019685.1|aph(3'')-Ib|3784996|3785796	blk000006	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	1394	0	complete_and_fully_contained	971	0	1	0	0
GCA_059696525.1|AP019685.1|aph(6)-Id|3785799|3786632	blk000006	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	558	0	complete_and_fully_contained	135	0	1	0	0
GCA_059696525.1|AP019685.1|tet(B)|3790008|3791207	blk000006	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	1325	0	complete_and_fully_contained	745	0	1	0	0
GCA_059696525.1|AP019685.1|ant(3'')-IIa|3877248|3878033	blk000007	PRJDB8095	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_006757745.1|AP019740.1|blaOXA-103|1098268|1099086	blk000008	PRJDB54	Acinetobacter radioresistens	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014168695.1|AP021936.1|blaADC-12|1201987|1203135	blk000009	PRJDB6962	Acinetobacter pittii	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014168695.1|AP021936.1|blaOXA-417|2218048|2218866	blk000010	PRJDB6962	Acinetobacter pittii	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014168695.1|AP021936.1|ant(3'')-IIa|3903770|3904555	blk000011	PRJDB6962	Acinetobacter pittii	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014159355.1|AP022077.1|ant(3'')-IIa|132387|133172	blk000012	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014159355.1|AP022077.1|blaOXA-120|1740737|1741558	blk000013	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014159355.1|AP022077.1|blaADC-156|2777286|2778434	blk000014	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014169655.1|AP022238.1|fos|243707|244111	blk000015	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014169655.1|AP022238.1|blaADC-26|1144643|1145791	blk000016	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014169655.1|AP022238.1|blaOXA-259|2074917|2075738	blk000017	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014169655.1|AP022238.1|ant(3'')-IIa|3564412|3565197	blk000018	PRJDB6962	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014169935.1|AP022302.1|fos|255747|256151	blk000019	PRJDB6962	Acinetobacter sp.	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014169935.1|AP022302.1|blaADC-132|1174423|1175571	blk000020	PRJDB6962	Acinetobacter sp.	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_014169935.1|AP022302.1|blaOXA-273|2104600|2105418	blk000021	PRJDB6962	Acinetobacter sp.	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_015135635.1|AP022438.1|oqxB|1139652|1142798	blk000022	PRJDB9036	Klebsiella planticola	Klebsiella	Klebsiella group	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_015135635.1|AP022438.1|blaPLA|2581300|2582172	blk000023	PRJDB9036	Klebsiella planticola	Klebsiella	Klebsiella group	B	1.0	6534	0	complete_and_fully_contained	6458	0	1	0	0
GCA_015135635.1|AP022438.1|fosA|4680776|4681192	blk000024	PRJDB9036	Klebsiella planticola	Klebsiella	Klebsiella group	B	1.0	4822	0	complete_and_fully_contained	4673	0	2	0	0
GCA_015137855.1|AP022509.1|blaACT-15|449269|450411	blk000025	PRJDB9036	Enterobacter cloacae	Enterobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_015137855.1|AP022509.1|fosA|605713|606135	blk000026	PRJDB9036	Enterobacter cloacae	Enterobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_015137855.1|AP022509.1|oqxB|3401984|3405133	blk000027	PRJDB9036	Enterobacter cloacae	Enterobacter	other	A	0.5		1	no_structurally_resolved_IS		1	0	0	0
GCA_015137855.1|AP022509.1|oqxA|3405160|3406332	blk000027	PRJDB9036	Enterobacter cloacae	Enterobacter	other	A	0.5		1	no_structurally_resolved_IS		1	0	0	0
GCA_001895125.2|AP023077.1|blaADC-249|1150404|1151552	blk000028	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_001895125.2|AP023077.1|blaOXA-208|2123320|2124141	blk000029	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	8209	0	complete_and_fully_contained	8202	0	1	0	0
GCA_001895125.2|AP023077.1|aph(3'')-Ib|3549919|3550719	blk000030	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	1394	0	complete_and_fully_contained	1069	0	3	1	1
GCA_001895125.2|AP023077.1|aph(6)-Id|3550722|3551555	blk000030	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	558	0	complete_and_fully_contained	233	0	3	1	1
GCA_001895125.2|AP023077.1|sul2|3554174|3554986	blk000030	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	93	0	complete_and_fully_contained	0	0	4	0	1
GCA_001895125.2|AP023077.1|sul1|3622197|3623033	blk000031	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	600	0	complete_in_shared_block_but_crosses_occurrence_window_boundary		1	0	2	3
GCA_001895125.2|AP023077.1|blaTMB-1|3623506|3624240	blk000031	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	153	0	complete_in_shared_block_but_crosses_occurrence_window_boundary		1	0	2	3
GCA_001895125.2|AP023077.1|mph(E)|3640980|3641861	blk000031	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	193	0	complete_and_fully_contained	957	0	2	0	3
GCA_001895125.2|AP023077.1|msr(E)|3641920|3643392	blk000031	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	1133	0	complete_and_fully_contained	1897	0	2	0	3
GCA_001895125.2|AP023077.1|ant(3'')-IIa|3825660|3826445	blk000032	PRJDB5156	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_016865465.1|AP024415.1|ant(3'')-IIa|142473|143258	blk000033	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_016865465.1|AP024415.1|blaOXA-23|229176|229994	blk000034	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	106	0	complete_and_fully_contained	35	0	2	0	0
GCA_016865465.1|AP024415.1|blaTEM-1|1312302|1313159	blk000035	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	183	0	complete_and_fully_contained	79	0	3	0	0
GCA_016865465.1|AP024415.1|blaOXA-66|1802814|1803635	blk000036	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_016865465.1|AP024415.1|mph(E)|2645417|2646298	blk000037	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	647	0	complete_and_fully_contained	1879	0	2	1	1
GCA_016865465.1|AP024415.1|msr(E)|2646357|2647829	blk000037	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	399	0	complete_and_fully_contained	348	0	3	0	1
GCA_016865465.1|AP024415.1|armA|2650131|2650901	blk000037	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	326	0	complete_and_fully_contained	0	0	3	0	1
GCA_016865465.1|AP024415.1|sul1|2654249|2655085	blk000037	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	408	0	complete_and_fully_contained	52	0	3	0	1
GCA_016865465.1|AP024415.1|blaADC-82|2835442|2836590	blk000038	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	397	0	partial_or_boundary_limited		1	0	0	1
GCA_016865465.1|AP024415.1|blaOXA-23|3937216|3938034	blk000039	PRJDB8068	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	255	0	no_structurally_resolved_IS		1	0	0	0
GCA_017347405.1|AP024495.1|blaMIR-20|389282|390424	blk000040	PRJDB11244	Enterobacter cloacae	Enterobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_017347405.1|AP024495.1|oqxA|2218198|2219370	blk000041	PRJDB11244	Enterobacter cloacae	Enterobacter	other	A	0.5		1	no_structurally_resolved_IS		1	0	0	0
GCA_017347405.1|AP024495.1|oqxB|2219398|2222550	blk000041	PRJDB11244	Enterobacter cloacae	Enterobacter	other	A	0.5		1	no_structurally_resolved_IS		1	0	0	0
GCA_018409485.1|AP024524.1|sul2|2444263|2445075	blk000042	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	B	0.3333333333333333	90	0	complete_and_fully_contained	19	0	3	1	0
GCA_018409485.1|AP024524.1|aph(6)-Id|2453142|2453975	blk000042	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	B	0.3333333333333333	905	0	complete_and_fully_contained	834	0	3	1	0
GCA_018409485.1|AP024524.1|aph(3'')-Ib|2453978|2454778	blk000042	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	B	0.3333333333333333	102	0	complete_and_fully_contained	31	0	3	1	0
GCA_018409485.1|AP024524.1|dfrA40|2783467|2783976	blk000043	PRJDB10565	Acinetobacter variabilis	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_018324105.1|AP024595.1|blaOXA-299|1013349|1014179	blk000044	PRJDB11476	Acinetobacter bouvetii	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_019702905.1|AP024708.1|blaOXA-257|4431714|4432541	blk000045	PRJDB11707	Acinetobacter sp.	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_019703265.1|AP024798.1|blaADC-18|1183449|1184597	blk000046	PRJDB11826	Acinetobacter pittii	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_019703265.1|AP024798.1|blaOXA-500|2158049|2158867	blk000047	PRJDB11826	Acinetobacter pittii	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_019703265.1|AP024798.1|ant(3'')-IIa|3832811|3833596	blk000048	PRJDB11826	Acinetobacter pittii	Acinetobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_019703285.1|AP024802.1|ant(3'')-IIa|158455|159240	blk000049	PRJDB11827	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	3783	0	complete_and_fully_contained	3729	0	1	0	0
GCA_019703285.1|AP024802.1|blaOXA-64|1788886|1789707	blk000050	PRJDB11827	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	5956	0	complete_and_fully_contained	5901	0	2	0	0
GCA_019703285.1|AP024802.1|blaADC|2718670|2719641	blk000051	PRJDB11827	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	35	0	complete_and_fully_contained	0	0	1	0	0
GCA_020886835.1|AP024913.1|blaACT-74|420889|422031	blk000052	PRJDB11945	Enterobacter cloacae	Enterobacter	other	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_020886835.1|AP024913.1|tet(B)|627942|629144	blk000053	PRJDB11945	Enterobacter cloacae	Enterobacter	other	B	0.5	1223	0	complete_and_fully_contained	1210	0	2	0	0
GCA_020886835.1|AP024913.1|fosA|643370|643792	blk000053	PRJDB11945	Enterobacter cloacae	Enterobacter	other	A	0.5		1	complete_in_shared_block_but_crosses_occurrence_window_boundary		1	0	2	0
GCA_020886955.1|AP024918.1|blaACT-74|420889|422031	blk000054	PRJDB11945	Klebsiella aerogenes	Klebsiella	Klebsiella group	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_020886955.1|AP024918.1|tet(B)|627936|629138	blk000055	PRJDB11945	Klebsiella aerogenes	Klebsiella	Klebsiella group	B	0.5	1223	0	complete_and_fully_contained	1210	0	2	0	0
GCA_020886955.1|AP024918.1|fosA|643364|643786	blk000055	PRJDB11945	Klebsiella aerogenes	Klebsiella	Klebsiella group	A	0.5		1	complete_in_shared_block_but_crosses_occurrence_window_boundary		1	0	2	0
GCA_019974175.1|AP025034.1|oqxA|30920|32092	blk000056	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	A	0.5		1	no_structurally_resolved_IS		1	0	0	0
GCA_019974175.1|AP025034.1|oqxB|32119|35268	blk000056	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	A	0.5		1	no_structurally_resolved_IS		1	0	0	0
GCA_019974175.1|AP025034.1|blaSHV-11|766184|767041	blk000057	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_019974175.1|AP025034.1|fosA|4307677|4308093	blk000058	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_019974175.1|AP025034.1|tet(A)|5026152|5027348	blk000059	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	1.0	1088	0	partial_or_boundary_limited		1	0	0	2
GCA_019974175.1|AP025034.1|dfrA12|5231235|5231729	blk000060	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.2	145	0	complete_and_fully_contained	3565	0	4	0	2
GCA_019974175.1|AP025034.1|aadA2|5232140|5232928	blk000060	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.2	1050	0	complete_and_fully_contained	3520	0	4	0	2
GCA_019974175.1|AP025034.1|sul1|5233436|5234272	blk000060	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.2	2238	0	complete_and_fully_contained	2176	0	3	1	2
GCA_019974175.1|AP025034.1|mrx(A)|5238354|5239589	blk000060	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.2	1080	0	complete_and_fully_contained	1025	0	1	3	2
GCA_019974175.1|AP025034.1|mph(A)|5239589|5240491	blk000060	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.2	2315	0	complete_and_fully_contained	2260	0	1	3	2
GCA_019974175.1|AP025034.1|qnrS1|5279374|5280027	blk000061	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.3333333333333333	322	0	complete_and_fully_contained	2746	0	2	0	3
GCA_019974175.1|AP025034.1|aph(3'')-Ib|5284231|5285031	blk000061	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.3333333333333333	1534	0	complete_and_fully_contained	0	0	1	1	3
GCA_019974175.1|AP025034.1|sul2|5285095|5285907	blk000061	PRJDB12144	Klebsiella pneumoniae	Klebsiella	Klebsiella group	B	0.3333333333333333	688	0	complete_and_fully_contained	543	0	1	1	3
GCA_027943685.1|AP025531.1|blaADC-73|1158616|1159764	blk000062	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	81	0	partial_or_boundary_limited		1	0	0	1
GCA_027943685.1|AP025531.1|armA|1335505|1336275	blk000063	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	326	0	complete_and_fully_contained	4878	0	1	0	0
GCA_027943685.1|AP025531.1|msr(E)|1338577|1340049	blk000063	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	399	0	complete_and_fully_contained	1104	0	1	0	0
GCA_027943685.1|AP025531.1|mph(E)|1340108|1340989	blk000063	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	647	0	complete_and_fully_contained	164	0	1	0	0
GCA_027943685.1|AP025531.1|blaOXA-66|2137295|2138116	blk000064	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_027943685.1|AP025531.1|aph(3')-Ia|2584188|2585000	blk000065	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.5	130	0	complete_and_fully_contained	67	0	5	0	0
GCA_027943685.1|AP025531.1|blaTEM-1|2590605|2591462	blk000065	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.5	74	0	complete_and_fully_contained	22	0	4	1	0
GCA_027943685.1|AP025531.1|aph(3'')-Ib|3648039|3648839	blk000066	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.16666666666666666	1394	0	complete_and_fully_contained	971	0	2	5	1
GCA_027943685.1|AP025531.1|aph(6)-Id|3648842|3649675	blk000066	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.16666666666666666	558	0	complete_and_fully_contained	135	0	2	5	1
GCA_027943685.1|AP025531.1|tet(B)|3653051|3654250	blk000066	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.16666666666666666	1325	0	complete_and_fully_contained	745	0	3	4	1
GCA_027943685.1|AP025531.1|blaOXA-23|3657701|3658519	blk000066	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.16666666666666666	106	0	complete_and_fully_contained	35	0	3	4	1
GCA_027943685.1|AP025531.1|sul2|3671691|3672503	blk000066	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.16666666666666666	93	0	complete_and_fully_contained	22	0	2	5	1
GCA_027943685.1|AP025531.1|blaOXA|3686857|3687357	blk000066	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.16666666666666666	423	0	complete_and_fully_contained	352	0	2	5	1
GCA_027943685.1|AP025531.1|ant(3'')-IIa|3772754|3773539	blk000067	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_027943705.1|AP025535.1|blaADC|1159038|1160174	blk000068	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	92	0	partial_or_boundary_limited		1	0	0	1
GCA_027943705.1|AP025535.1|armA|1338106|1338876	blk000069	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	543	0	complete_and_fully_contained	4875	0	1	0	1
GCA_027943705.1|AP025535.1|msr(E)|1341177|1342388	blk000069	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	398	0	complete_and_fully_contained	1363	0	1	0	1
GCA_027943705.1|AP025535.1|mph(E)|1342707|1343459	blk000069	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	775	0	complete_and_fully_contained	292	0	1	0	1
GCA_027943705.1|AP025535.1|blaOXA|2141908|2142387	blk000070	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_027943705.1|AP025535.1|aph(3'')-Ib|3642645|3643427	blk000071	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	1392	0	complete_and_fully_contained	969	0	2	3	0
GCA_027943705.1|AP025535.1|aph(6)-Id|3643623|3644261	blk000071	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	558	0	complete_and_fully_contained	135	0	2	3	0
GCA_027943705.1|AP025535.1|tet(B)|3647634|3648815	blk000071	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	1913	0	complete_and_fully_contained	743	0	3	2	0
GCA_027943705.1|AP025535.1|blaOXA-23|3652280|3653098	blk000071	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	106	0	complete_and_fully_contained	35	0	3	2	0
GCA_027943705.1|AP025535.1|blaOXA|3667872|3668687	blk000071	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.2	105	0	complete_and_fully_contained	35	0	2	3	0
GCA_027943705.1|AP025535.1|ant(3'')-IIa|3754035|3754820	blk000072	PRJDB10765	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_025995075.1|AP025740.1|blaADC-158|1125850|1126998	blk000073	PRJDB12922	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_025995075.1|AP025740.1|blaOXA-98|2063657|2064478	blk000074	PRJDB12922	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_025995075.1|AP025740.1|ant(3'')-IIa|3683652|3684437	blk000075	PRJDB12922	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_025995075.1|AP025740.1|sul2|3807246|3808058	blk000076	PRJDB12922	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	568	0	no_structurally_resolved_IS		1	0	0	0
GCA_059738855.1|AP027038.1|blaOXA-23|238967|239785	blk000077	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	106	0	complete_and_fully_contained	37	0	3	0	0
GCA_059738855.1|AP027038.1|fos|269667|270071	blk000078	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_059738855.1|AP027038.1|blaADC-73|1177436|1178584	blk000079	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	1.0	81	0	partial_or_boundary_limited		1	0	0	1
GCA_059738855.1|AP027038.1|armA|1392605|1393375	blk000080	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	326	0	complete_and_fully_contained	4878	0	1	0	0
GCA_059738855.1|AP027038.1|msr(E)|1395677|1397149	blk000080	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	399	0	complete_and_fully_contained	1104	0	1	0	0
GCA_059738855.1|AP027038.1|mph(E)|1397208|1398089	blk000080	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.3333333333333333	647	0	complete_and_fully_contained	164	0	1	0	0
GCA_059738855.1|AP027038.1|blaOXA-66|2239334|2240155	blk000081	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	A	1.0		1	no_structurally_resolved_IS		1	0	0	0
GCA_059738855.1|AP027038.1|aph(3')-Ia|2677657|2678469	blk000082	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.5	130	0	complete_and_fully_contained	67	0	5	0	0
GCA_059738855.1|AP027038.1|blaTEM-1|2684074|2684931	blk000082	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.5	74	0	complete_and_fully_contained	22	0	4	1	0
GCA_059738855.1|AP027038.1|aph(3'')-Ib|3735442|3736242	blk000083	PRJDB14720	Acinetobacter baumannii	Acinetobacter	A. baumannii	B	0.25	1394	0	complete_and_fully_contained	971	0	2	1	0
