assembly_accession	assembly_version	replicon_accession	replicon_name	replicon_length	topology	species	genus	bioproject_accession	n_chromosomal_arg_occurrences	n_context_blocks	download_url	local_filename	expected_checksum
GCA_003010655.1	GCA_003010655.1	CP027607.1	chromosome	3944627	circular	Acinetobacter baumannii	Acinetobacter	PRJNA292904	13	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027607.1&rettype=fasta&retmode=text	CP027607.1.fna	
GCA_003010675.1	GCA_003010675.1	CP027611.1	chromosome	4233827	circular	Acinetobacter baumannii	Acinetobacter	PRJNA292904	8	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027611.1&rettype=fasta&retmode=text	CP027611.1.fna	
GCA_003012895.3	GCA_003012895.3	CP027704.2	chromosome	3430799	circular	Acinetobacter baumannii	Acinetobacter	PRJNA437037	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027704.2&rettype=fasta&retmode=text	CP027704.2.fna	
GCA_003029495.1	GCA_003029495.1	CP027123.1	chromosome	3993838	circular	Acinetobacter baumannii	Acinetobacter	PRJNA316321	10	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027123.1&rettype=fasta&retmode=text	CP027123.1.fna	
GCA_003181015.1	GCA_003181015.1	CP029569.1	chromosome	3975885	circular	Acinetobacter baumannii	Acinetobacter	PRJNA472712	8	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP029569.1&rettype=fasta&retmode=text	CP029569.1.fna	
GCA_003264255.1	GCA_003264255.1	CP021321.1	chromosome	3914578	circular	Acinetobacter baumannii	Acinetobacter	PRJNA361029	11	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP021321.1&rettype=fasta&retmode=text	CP021321.1.fna	
GCA_003264275.1	GCA_003264275.1	CP021326.1	chromosome	4108882	circular	Acinetobacter baumannii	Acinetobacter	PRJNA273343	21	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP021326.1&rettype=fasta&retmode=text	CP021326.1.fna	
GCA_003264295.1	GCA_003264295.1	CP019217.1	chromosome	3909773	circular	Acinetobacter baumannii	Acinetobacter	PRJNA361029	10	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP019217.1&rettype=fasta&retmode=text	CP019217.1.fna	
GCA_003288775.1	GCA_003288775.1	CP030083.1	chromosome	3911735	circular	Acinetobacter baumannii	Acinetobacter	PRJNA475448	11	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP030083.1&rettype=fasta&retmode=text	CP030083.1.fna	
GCA_003296225.1	GCA_003296225.1	CP030106.1	chromosome	3947407	circular	Acinetobacter baumannii	Acinetobacter	PRJNA472712	7	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP030106.1&rettype=fasta&retmode=text	CP030106.1.fna	
GCA_003345235.1	GCA_003345235.1	CP026338.1	chromosome	4089681	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	8	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP026338.1&rettype=fasta&retmode=text	CP026338.1.fna	
GCA_003359255.2	GCA_003359255.2	CP033516.1	chromosome	3919679	circular	Acinetobacter baumannii	Acinetobacter	PRJNA459525	15	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP033516.1&rettype=fasta&retmode=text	CP033516.1.fna	
GCA_003431865.1	GCA_003431865.1	CP027178.1	chromosome	4093545	circular	Acinetobacter baumannii	Acinetobacter	PRJNA316321	4	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027178.1&rettype=fasta&retmode=text	CP027178.1.fna	
GCA_003516005.1	GCA_003516005.1	CP023031.1	chromosome	3986569	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	16	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP023031.1&rettype=fasta&retmode=text	CP023031.1.fna	
GCA_003522665.1	GCA_003522665.1	CP023020.1	chromosome	4119128	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	13	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP023020.1&rettype=fasta&retmode=text	CP023020.1.fna	
GCA_003522705.1	GCA_003522705.1	CP023022.1	chromosome	3736581	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP023022.1&rettype=fasta&retmode=text	CP023022.1.fna	
GCA_003522785.1	GCA_003522785.1	CP023026.1	chromosome	4031086	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	14	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP023026.1&rettype=fasta&retmode=text	CP023026.1.fna	
GCA_003522845.1	GCA_003522845.1	CP023029.1	chromosome	3971623	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	13	11	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP023029.1&rettype=fasta&retmode=text	CP023029.1.fna	
GCA_003522885.1	GCA_003522885.1	CP023034.1	chromosome	3980012	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	16	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP023034.1&rettype=fasta&retmode=text	CP023034.1.fna	
GCA_003547115.1	GCA_003547115.1	CP027183.1	chromosome	4078507	circular	Acinetobacter baumannii	Acinetobacter	PRJNA316321	4	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP027183.1&rettype=fasta&retmode=text	CP027183.1.fna	
GCA_003591615.1	GCA_003591615.1	CP023140.1	chromosome	3891370	circular	Acinetobacter baumannii	Acinetobacter	PRJNA400841	12	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP023140.1&rettype=fasta&retmode=text	CP023140.1.fna	
GCA_003627485.2	GCA_003627485.2	CP035930.1	chromosome	3078300	circular	Acinetobacter baumannii	Acinetobacter	PRJNA494506	13	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035930.1&rettype=fasta&retmode=text	CP035930.1.fna	
GCA_003812065.1	GCA_003812065.1	CP033754.1	chromosome	3803345	circular	Acinetobacter baumannii	Acinetobacter	PRJNA231221	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP033754.1&rettype=fasta&retmode=text	CP033754.1.fna	
GCA_003812385.1	GCA_003812385.1	CP033768.1	chromosome	3781536	circular	Acinetobacter baumannii	Acinetobacter	PRJNA231221	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP033768.1&rettype=fasta&retmode=text	CP033768.1.fna	
GCA_003812485.1	GCA_003812485.1	CP033869.1	chromosome	4193847	circular	Acinetobacter baumannii	Acinetobacter	PRJNA505170	21	9	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP033869.1&rettype=fasta&retmode=text	CP033869.1.fna	
GCA_003931755.1	GCA_003931755.1	CP034242.1	chromosome	3943275	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	20	9	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP034242.1&rettype=fasta&retmode=text	CP034242.1.fna	
GCA_003931775.1	GCA_003931775.1	CP034243.1	chromosome	3943105	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	20	9	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP034243.1&rettype=fasta&retmode=text	CP034243.1.fna	
GCA_003948085.2	GCA_003948085.2	CP039341.1	chromosome	4049647	circular	Acinetobacter baumannii	Acinetobacter	PRJNA497581	9	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP039341.1&rettype=fasta&retmode=text	CP039341.1.fna	
GCA_003948455.2	GCA_003948455.2	CP039518.1	chromosome	3891074	circular	Acinetobacter baumannii	Acinetobacter	PRJNA497581	14	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP039518.1&rettype=fasta&retmode=text	CP039518.1.fna	
GCA_003948535.2	GCA_003948535.2	CP039520.1	chromosome	3915428	circular	Acinetobacter baumannii	Acinetobacter	PRJNA497581	12	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP039520.1&rettype=fasta&retmode=text	CP039520.1.fna	
GCA_003949115.2	GCA_003949115.2	CP039343.1	chromosome	4044095	circular	Acinetobacter baumannii	Acinetobacter	PRJNA497581	9	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP039343.1&rettype=fasta&retmode=text	CP039343.1.fna	
GCA_003949595.2	GCA_003949595.2	CP039993.1	chromosome	3975485	circular	Acinetobacter baumannii	Acinetobacter	PRJNA497581	13	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP039993.1&rettype=fasta&retmode=text	CP039993.1.fna	
GCA_003949725.2	GCA_003949725.2	CP039930.1	chromosome	3963137	circular	Acinetobacter baumannii	Acinetobacter	PRJNA497581	8	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP039930.1&rettype=fasta&retmode=text	CP039930.1.fna	
GCA_004028375.1	GCA_004028375.1	CP034092.1	chromosome	3864628	circular	Acinetobacter baumannii	Acinetobacter	PRJNA506023	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP034092.1&rettype=fasta&retmode=text	CP034092.1.fna	
GCA_004101685.1	GCA_004101685.1	CP035184.1	chromosome	3937511	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	18	8	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035184.1&rettype=fasta&retmode=text	CP035184.1.fna	
GCA_004101705.1	GCA_004101705.1	CP035183.1	chromosome	3940649	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	17	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035183.1&rettype=fasta&retmode=text	CP035183.1.fna	
GCA_004101725.1	GCA_004101725.1	CP035185.1	chromosome	3934099	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	17	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035185.1&rettype=fasta&retmode=text	CP035185.1.fna	
GCA_004101745.1	GCA_004101745.1	CP035186.1	chromosome	3944921	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	17	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP035186.1&rettype=fasta&retmode=text	CP035186.1.fna	
GCA_004136355.1	GCA_004136355.1	CP031444.1	chromosome	3935403	circular	Acinetobacter baumannii	Acinetobacter	PRJNA484790	13	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP031444.1&rettype=fasta&retmode=text	CP031444.1.fna	
GCA_004194555.1	GCA_004194555.1	CP028138.1	chromosome	3751581	circular	Acinetobacter baumannii	Acinetobacter	PRJNA244617	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP028138.1&rettype=fasta&retmode=text	CP028138.1.fna	
GCA_004564095.1	GCA_004564095.1	CP038262.1	chromosome	3708164	circular	Acinetobacter baumannii	Acinetobacter	PRJNA529047	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP038262.1&rettype=fasta&retmode=text	CP038262.1.fna	
GCA_004564115.1	GCA_004564115.1	CP038258.1	chromosome	3752576	circular	Acinetobacter baumannii	Acinetobacter	PRJNA529047	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP038258.1&rettype=fasta&retmode=text	CP038258.1.fna	
GCA_004758865.1	GCA_004758865.1	CP038500.1	chromosome	4017696	circular	Acinetobacter baumannii	Acinetobacter	PRJNA530138	4	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP038500.1&rettype=fasta&retmode=text	CP038500.1.fna	
GCA_004768705.1	GCA_004768705.1	CP038644.1	chromosome	3827138	circular	Acinetobacter baumannii	Acinetobacter	PRJNA530330	9	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP038644.1&rettype=fasta&retmode=text	CP038644.1.fna	
GCA_004797155.2	GCA_004797155.2	CP039025.2	chromosome	3955017	circular	Acinetobacter baumannii	Acinetobacter	PRJNA530202	4	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP039025.2&rettype=fasta&retmode=text	CP039025.2.fna	
GCA_005280355.1	GCA_005280355.1	CP040040.1	chromosome	2944648	circular	Acinetobacter baumannii	Acinetobacter	PRJNA540743	15	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040040.1&rettype=fasta&retmode=text	CP040040.1.fna	
GCA_005280375.1	GCA_005280375.1	CP040047.1	chromosome	3294487	circular	Acinetobacter baumannii	Acinetobacter	PRJNA540755	15	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040047.1&rettype=fasta&retmode=text	CP040047.1.fna	
GCA_005280395.1	GCA_005280395.1	CP040053.1	chromosome	4118442	circular	Acinetobacter baumannii	Acinetobacter	PRJNA540771	4	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040053.1&rettype=fasta&retmode=text	CP040053.1.fna	
GCA_005280415.1	GCA_005280415.1	CP040056.1	chromosome	4011931	circular	Acinetobacter baumannii	Acinetobacter	PRJNA540773	5	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040056.1&rettype=fasta&retmode=text	CP040056.1.fna	
GCA_005280435.1	GCA_005280435.1	CP040050.1	chromosome	4082961	circular	Acinetobacter baumannii	Acinetobacter	PRJNA540767	6	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040050.1&rettype=fasta&retmode=text	CP040050.1.fna	
GCA_005280675.1	GCA_005280675.1	CP040080.1	chromosome	3766238	circular	Acinetobacter baumannii	Acinetobacter	PRJNA541077	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040080.1&rettype=fasta&retmode=text	CP040080.1.fna	
GCA_005280695.1	GCA_005280695.1	CP040084.1	chromosome	3977630	circular	Acinetobacter baumannii	Acinetobacter	PRJNA541078	16	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040084.1&rettype=fasta&retmode=text	CP040084.1.fna	
GCA_005280715.1	GCA_005280715.1	CP040087.1	chromosome	4031418	circular	Acinetobacter baumannii	Acinetobacter	PRJNA541079	25	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040087.1&rettype=fasta&retmode=text	CP040087.1.fna	
GCA_005518095.1	GCA_005518095.1	CP040259.1	chromosome	4143962	circular	Acinetobacter baumannii	Acinetobacter	PRJNA542432	5	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040259.1&rettype=fasta&retmode=text	CP040259.1.fna	
GCA_005519135.2	GCA_005519135.2	CP031380.1	chromosome	3919274	circular	Acinetobacter baumannii	Acinetobacter	PRJNA474045	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP031380.1&rettype=fasta&retmode=text	CP031380.1.fna	
GCA_005671375.1	GCA_005671375.1	CP040425.1	chromosome	4014051	circular	Acinetobacter baumannii	Acinetobacter	PRJNA543307	11	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP040425.1&rettype=fasta&retmode=text	CP040425.1.fna	
GCA_006385075.1	GCA_006385075.1	CP041035.1	chromosome	4130187	circular	Acinetobacter baumannii	Acinetobacter	PRJNA548265	8	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP041035.1&rettype=fasta&retmode=text	CP041035.1.fna	
GCA_007107525.1	GCA_007107525.1	CP041587.1	chromosome	3798644	circular	Acinetobacter baumannii	Acinetobacter	PRJNA472828	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP041587.1&rettype=fasta&retmode=text	CP041587.1.fna	
GCA_007221455.1	GCA_007221455.1	CP032055.1	chromosome	3896541	circular	Acinetobacter baumannii	Acinetobacter	PRJNA503905	12	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP032055.1&rettype=fasta&retmode=text	CP032055.1.fna	
GCA_007647215.1	GCA_007647215.1	CP019114.1	chromosome	3927258	circular	Acinetobacter baumannii	Acinetobacter	PRJNA360504	13	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP019114.1&rettype=fasta&retmode=text	CP019114.1.fna	
GCA_008033255.2	GCA_008033255.2	CP042841.1	chromosome	3963235	circular	Acinetobacter baumannii	Acinetobacter	PRJNA557366	12	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP042841.1&rettype=fasta&retmode=text	CP042841.1.fna	
GCA_008124045.1	GCA_008124045.1	CP043180.1	chromosome	3843574	circular	Acinetobacter baumannii	Acinetobacter	PRJNA560883	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP043180.1&rettype=fasta&retmode=text	CP043180.1.fna	
GCA_008244865.1	GCA_008244865.1	CP043419.1	chromosome	3935331	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	17	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP043419.1&rettype=fasta&retmode=text	CP043419.1.fna	
GCA_008244885.1	GCA_008244885.1	CP043417.1	chromosome	3936362	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	17	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP043417.1&rettype=fasta&retmode=text	CP043417.1.fna	
GCA_008244905.1	GCA_008244905.1	CP043418.1	chromosome	3935083	circular	Acinetobacter baumannii	Acinetobacter	PRJNA390934	17	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP043418.1&rettype=fasta&retmode=text	CP043418.1.fna	
GCA_008630895.1	GCA_008630895.1	CP043910.1	chromosome	3961713	circular	Acinetobacter baumannii	Acinetobacter	PRJNA305151	4	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP043910.1&rettype=fasta&retmode=text	CP043910.1.fna	
GCA_008632635.1	GCA_008632635.1	CP043953.1	chromosome	3972439	circular	Acinetobacter baumannii	Acinetobacter	PRJNA565663	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP043953.1&rettype=fasta&retmode=text	CP043953.1.fna	
GCA_008802935.1	GCA_008802935.1	CP044356.1	chromosome	3815016	circular	Acinetobacter baumannii	Acinetobacter	PRJNA573751	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP044356.1&rettype=fasta&retmode=text	CP044356.1.fna	
GCA_008807055.1	GCA_008807055.1	CP032743.1	chromosome	3949489	circular	Acinetobacter baumannii	Acinetobacter	PRJNA493508	16	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP032743.1&rettype=fasta&retmode=text	CP032743.1.fna	
GCA_008931365.1	GCA_008931365.1	CP042556.1	chromosome	3806017	circular	Acinetobacter baumannii	Acinetobacter	PRJNA550014	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP042556.1&rettype=fasta&retmode=text	CP042556.1.fna	
GCA_009035845.1	GCA_009035845.1	CP045110.1	chromosome	3981941	circular	Acinetobacter baumannii	Acinetobacter	PRJNA557095	4	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP045110.1&rettype=fasta&retmode=text	CP045110.1.fna	
GCA_009455505.1	GCA_009455505.1	CP045528.1	chromosome	4092125	circular	Acinetobacter baumannii	Acinetobacter	PRJNA472798	16	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP045528.1&rettype=fasta&retmode=text	CP045528.1.fna	
GCA_009497995.1	GCA_009497995.1	CP033243.1	chromosome	4006665	circular	Acinetobacter baumannii	Acinetobacter	PRJNA311558	7	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP033243.1&rettype=fasta&retmode=text	CP033243.1.fna	
GCA_009498335.1	GCA_009498335.1	CP042931.1	chromosome	4030371	circular	Acinetobacter baumannii	Acinetobacter	PRJNA560129	13	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP042931.1&rettype=fasta&retmode=text	CP042931.1.fna	
GCA_009740145.1	GCA_009740145.1	CP046536.1	chromosome	3807241	circular	Acinetobacter baumannii	Acinetobacter	PRJNA593376	3	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP046536.1&rettype=fasta&retmode=text	CP046536.1.fna	
