assembly_version	organism	scheme	st	profile
GCA_003264255.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008802935.1	Acinetobacter baumannii	abaumannii_2	203	Pas_cpn60(3),Pas_fusA(4),Pas_gltA(2),Pas_pyrG(2),Pas_recA(7),Pas_rplB(1),Pas_rpoB(2)
GCA_001668465.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003010675.1	Acinetobacter baumannii	abaumannii_2	-	Pas_cpn60(26),Pas_fusA(2,2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(29),Pas_rplB(4),Pas_rpoB(5)
GCA_003948455.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_000794125.2	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_001674475.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008124045.1	Acinetobacter baumannii	abaumannii_2	294	Pas_cpn60(40),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(2),Pas_recA(4),Pas_rplB(35),Pas_rpoB(4)
GCA_005280695.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_002947845.1	Acinetobacter baumannii	abaumannii_2	79	Pas_cpn60(26),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(29),Pas_rplB(4),Pas_rpoB(5)
GCA_008244905.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003812065.1	Acinetobacter baumannii	abaumannii_2	1542	Pas_cpn60(1),Pas_fusA(4),Pas_gltA(5),Pas_pyrG(3),Pas_recA(6),Pas_rplB(2),Pas_rpoB(3)
GCA_006385075.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_003812485.1	Acinetobacter baumannii	abaumannii_2	79	Pas_cpn60(26),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(29),Pas_rplB(4),Pas_rpoB(5)
GCA_003516005.1	Acinetobacter baumannii	abaumannii_2	1544	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(129),Pas_rpoB(2)
GCA_003296225.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_001895125.2	Acinetobacter baumannii	abaumannii_2	412	Pas_cpn60(1),Pas_fusA(52),Pas_gltA(2),Pas_pyrG(2),Pas_recA(67),Pas_rplB(4),Pas_rpoB(5)
GCA_003949115.2	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_003812385.1	Acinetobacter baumannii	abaumannii_2	57	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(17),Pas_pyrG(5),Pas_recA(3),Pas_rplB(1),Pas_rpoB(14)
GCA_003029495.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008630895.1	Acinetobacter baumannii	abaumannii_2	437	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(30),Pas_rplB(4),Pas_rpoB(28)
GCA_003431865.1	Acinetobacter baumannii	abaumannii_2	32	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(4)
GCA_007107525.1	Acinetobacter baumannii	abaumannii_2	49	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(3),Pas_rplB(1),Pas_rpoB(5)
GCA_003522845.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_004564115.1	Acinetobacter baumannii	abaumannii_2	345	Pas_cpn60(26),Pas_fusA(4),Pas_gltA(2),Pas_pyrG(2),Pas_recA(9),Pas_rplB(2),Pas_rpoB(5)
GCA_003345235.1	Acinetobacter baumannii	abaumannii_2	156	Pas_cpn60(26),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(29),Pas_rplB(4),Pas_rpoB(4)
GCA_003522705.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_002762545.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_004564095.1	Acinetobacter baumannii	abaumannii_2	345	Pas_cpn60(26),Pas_fusA(4),Pas_gltA(2),Pas_pyrG(2),Pas_recA(9),Pas_rplB(2),Pas_rpoB(5)
GCA_002996805.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_004758865.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_003264275.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_005280435.1	Acinetobacter baumannii	abaumannii_2	622	Pas_cpn60(3),Pas_fusA(12),Pas_gltA(11),Pas_pyrG(2),Pas_recA(14),Pas_rplB(4),Pas_rpoB(14)
GCA_003547115.1	Acinetobacter baumannii	abaumannii_2	32	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(4)
GCA_003591615.1	Acinetobacter baumannii	abaumannii_2	922	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(75),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_000226275.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003949725.2	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_003288775.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_002947415.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_011067065.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_001669145.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_005280395.1	Acinetobacter baumannii	abaumannii_2	1512	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(10),Pas_pyrG(1),Pas_recA(4),Pas_rplB(1),Pas_rpoB(4)
GCA_002902885.1	Acinetobacter baumannii	abaumannii_2	1543	Pas_cpn60(3),Pas_fusA(4),Pas_gltA(2),Pas_pyrG(2),Pas_recA(7),Pas_rplB(1),Pas_rpoB(4)
GCA_003627485.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_005280375.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_009497995.1	Acinetobacter baumannii	abaumannii_2	422	Pas_cpn60(26),Pas_fusA(72),Pas_gltA(2),Pas_pyrG(2),Pas_recA(29),Pas_rplB(4),Pas_rpoB(5)
GCA_004028375.1	Acinetobacter baumannii	abaumannii_2	77	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(28)
GCA_003522665.1	Acinetobacter baumannii	abaumannii_2	422	Pas_cpn60(26),Pas_fusA(72),Pas_gltA(2),Pas_pyrG(2),Pas_recA(29),Pas_rplB(4),Pas_rpoB(5)
GCA_009833005.1	Acinetobacter baumannii	abaumannii_2	825	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(7),Pas_rplB(4),Pas_rpoB(4)
GCA_009937725.1	Klebsiella aerogenes	klebsiella	-	gapA(~209),infB(196?),mdh(-),pgi(198?),phoE(-),rpoB(-),tonB(-)
GCA_005280675.1	Acinetobacter baumannii	abaumannii_2	285	Pas_cpn60(1),Pas_fusA(52),Pas_gltA(2),Pas_pyrG(2),Pas_recA(9),Pas_rplB(4),Pas_rpoB(2)
GCA_009498335.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_003522885.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008931365.1	Acinetobacter baumannii	abaumannii_2	1547	Pas_cpn60(13),Pas_fusA(3),Pas_gltA(7),Pas_pyrG(3),Pas_recA(7),Pas_rplB(1),Pas_rpoB(16)
GCA_002999195.2	Acinetobacter baumannii	abaumannii_2	20	Pas_cpn60(3),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_004194555.1	Acinetobacter baumannii	abaumannii_2	1197	Pas_cpn60(1),Pas_fusA(4),Pas_gltA(2),Pas_pyrG(2),Pas_recA(7),Pas_rplB(58),Pas_rpoB(2)
GCA_009740145.1	Acinetobacter baumannii	abaumannii_2	150	Pas_cpn60(39),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(4),Pas_rplB(27),Pas_rpoB(4)
GCA_008632635.1	Acinetobacter baumannii	abaumannii_2	46	Pas_cpn60(5),Pas_fusA(12),Pas_gltA(11),Pas_pyrG(2),Pas_recA(14),Pas_rplB(9),Pas_rpoB(14)
GCA_003012895.3	Acinetobacter baumannii	abaumannii_2	-	Pas_cpn60(13),Pas_fusA(~3),Pas_gltA(7),Pas_pyrG(26),Pas_recA(7),Pas_rplB(1),Pas_rpoB(29)
GCA_004768705.1	Acinetobacter baumannii	abaumannii_2	85	Pas_cpn60(5),Pas_fusA(2),Pas_gltA(4),Pas_pyrG(1),Pas_recA(3),Pas_rplB(3),Pas_rpoB(4)
GCA_003522785.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_009759685.1	Acinetobacter baumannii	abaumannii_2	52	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(7),Pas_recA(9),Pas_rplB(1),Pas_rpoB(5)
GCA_009035845.1	Acinetobacter baumannii	abaumannii_2	52	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(7),Pas_recA(9),Pas_rplB(1),Pas_rpoB(5)
GCA_003359255.2	Acinetobacter baumannii	abaumannii_2	195	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(1),Pas_rpoB(2)
GCA_009455505.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_007647215.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_002950495.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_005671375.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_004797155.2	Acinetobacter baumannii	abaumannii_2	437	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(30),Pas_rplB(4),Pas_rpoB(28)
GCA_008807055.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_005518095.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_005280355.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_008386255.1	Klebsiella pneumoniae	klebsiella	-	gapA(~295),infB(~230),mdh(1),pgi(~235),phoE(396?),rpoB(~206),tonB(1)
GCA_008386275.1	Klebsiella pneumoniae	klebsiella	-	gapA(207?),infB(161?),mdh(1),pgi(235?),phoE(535?),rpoB(312?),tonB(~547)
GCA_009931155.1	Klebsiella pneumoniae	klebsiella	11	gapA(3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4)
GCA_002307335.2	Klebsiella pneumoniae	klebsiella	3813	gapA(221),infB(3),mdh(259),pgi(254),phoE(396),rpoB(224),tonB(160)
GCA_012272755.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_016350105.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_013394265.1	Acinetobacter baumannii	abaumannii_2	1093	Pas_cpn60(1),Pas_fusA(158),Pas_gltA(2),Pas_pyrG(2),Pas_recA(165),Pas_rplB(1),Pas_rpoB(2)
GCA_013787185.1	Acinetobacter baumannii	abaumannii_2	203	Pas_cpn60(3),Pas_fusA(4),Pas_gltA(2),Pas_pyrG(2),Pas_recA(7),Pas_rplB(1),Pas_rpoB(2)
GCA_013416275.1	Acinetobacter baumannii	abaumannii_2	239	Pas_cpn60(1),Pas_fusA(4),Pas_gltA(2),Pas_pyrG(2),Pas_recA(7),Pas_rplB(1),Pas_rpoB(4)
GCA_017096345.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_013416255.1	Acinetobacter baumannii	abaumannii_2	374	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(4)
GCA_012931625.1	Acinetobacter baumannii	abaumannii_2	103	Pas_cpn60(7),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(7),Pas_rplB(1),Pas_rpoB(4)
GCA_012272795.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_016864915.1	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_016865465.1	Acinetobacter baumannii	abaumannii_2	571	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(104),Pas_rplB(2),Pas_rpoB(4)
GCA_013305465.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_012272715.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_014267385.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_012934965.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_016903135.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_012935085.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_012931605.1	Acinetobacter baumannii	abaumannii_2	1472	Pas_cpn60(3),Pas_fusA(1),Pas_gltA(5),Pas_pyrG(26),Pas_recA(13),Pas_rplB(2),Pas_rpoB(3)
GCA_012935045.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_016127515.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_014881055.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_012935065.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_012974845.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_016350065.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_013376855.2	Acinetobacter baumannii	abaumannii_2	570	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(4)
GCA_012935125.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_017096325.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_014880215.2	Acinetobacter baumannii	abaumannii_2	499	Pas_cpn60(5),Pas_fusA(2),Pas_gltA(39),Pas_pyrG(2),Pas_recA(3),Pas_rplB(1),Pas_rpoB(5)
GCA_016350085.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_012935105.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_013403505.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_016903215.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_016864295.1	Acinetobacter baumannii	abaumannii_2	1077	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(2)
GCA_016350005.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
